Transaction,Transaction_Type,Status,department,EXPENSEACCOUNT,ITEM,QUANTITY,QUANTITYSHIPRECV,QUANTITYBILLED,RATE,rateamount ,netamount ,expectedshipdate ,expectedreceiptdate ,MEMO ,mainline,UNIQUEKEY ,kitmemberof,delete_random_number,,,
1243922,PurchOrd,,23,449,134,57,57,57,86,86,4902,2021-01-07,2021-01-12,,,242488,,20,,,
1243988,PurchOrd,,31,685,193,42,42,42,85,85,3570,2020-03-06,2020-03-11,,,242489,,16,,,
1244008,PurchOrd,,26,587,231,17,17,17,3,3,51,2022-04-21,2022-04-26,,,242490,,67,,,
1244060,PurchOrd,,16,128,446,65,65,65,85,85,5525,2020-03-01,2020-03-06,,,242491,,30,,,
1244083,PurchOrd,,19,588,22,52,52,52,71,71,3692,2020-05-12,2020-05-17,,,242492,,59,,,
1244097,PurchOrd,,29,449,688,31,31,31,78,78,2418,2022-03-16,2022-03-21,,,242493,,52,,,
1244100,PurchOrd,,33,875,100,36,0,0,65,65,2340,2020-12-25,2020-12-30,,,242494,,97,,,
1244152,PurchOrd,,24,587,38,27,27,27,56,56,1512,2022-04-25,2022-04-30,,,242495,,68,,,
1244154,PurchOrd,,11,117,354,49,49,49,42,42,2058,2020-10-16,2020-10-21,,,242496,,27,,,
1244236,PurchOrd,,13,588,566,59,59,59,84,84,4956,2022-02-19,2022-02-24,,,242497,,53,,,
1244259,PurchOrd,,36,587,197,3,3,3,67,67,201,2022-01-28,2022-02-02,,,242498,,41,,,
1244267,PurchOrd,,13,911,294,49,0,0,82,82,4018,2020-11-10,2020-11-15,,,242499,,98,,,
1244281,PurchOrd,,33,588,563,54,54,54,37,37,1998,2020-08-21,2020-08-26,,,242500,,66,,,
1244306,PurchOrd,,11,685,86,2,2,2,41,41,82,2022-01-24,2022-01-29,,,242501,,81,,,
1244352,PurchOrd,,18,587,340,53,53,53,91,91,4823,2022-02-05,2022-02-10,,,242502,,41,,,
1244357,PurchOrd,,14,407,683,55,55,55,11,11,605,2021-03-08,2021-03-13,,,242503,,19,,,
1244376,PurchOrd,,28,685,253,87,87,87,6,6,522,2021-01-06,2021-01-11,,,242504,,5,,,
1244387,PurchOrd,,17,587,706,92,92,92,8,8,736,2020-03-20,2020-03-25,,,242505,,38,,,
1244421,PurchOrd,,26,407,746,42,42,42,57,57,2394,2022-05-02,2022-05-07,,,242506,,80,,,
1244430,PurchOrd,,11,685,17,82,82,82,9,9,738,2021-12-12,2021-12-17,,,242507,,57,,,
1244510,PurchOrd,,30,875,249,13,13,13,97,97,1261,2020-10-10,2020-10-15,,,242508,,59,,,
1244515,PurchOrd,,17,407,162,3,3,3,92,92,276,2022-01-30,2022-02-04,,,242509,,14,,,
1244522,PurchOrd,,24,569,188,57,57,57,9,9,513,2022-07-17,2022-07-22,,,242510,,41,,,
1244549,PurchOrd,,11,569,270,8,8,8,39,39,312,2021-10-15,2021-10-20,,,242511,,88,,,
1244571,PurchOrd,,36,569,241,30,30,30,40,40,1200,2022-04-25,2022-04-30,,,242512,,2,,,
1244591,PurchOrd,,32,685,245,69,69,69,12,12,828,2021-04-12,2021-04-17,,,242513,,18,,,
1244600,PurchOrd,,19,128,168,20,20,20,21,21,420,2022-08-24,2022-08-29,,,242514,,80,,,
1244645,PurchOrd,,19,685,137,31,31,31,22,22,682,2020-06-25,2020-06-30,,,242515,,83,,,
1244715,PurchOrd,,34,875,588,65,65,0,47,47,3055,2022-02-21,2022-02-26,,,242516,,92,,,
1244741,PurchOrd,,16,407,386,76,76,76,31,31,2356,2020-04-13,2020-04-18,,,242517,,67,,,
1244770,PurchOrd,,18,449,502,2,2,2,76,76,152,2020-02-02,2020-02-07,,,242518,,45,,,
1244771,PurchOrd,,23,875,598,38,38,0,22,22,836,2020-11-26,2020-12-01,,,242519,,94,,,
1244787,PurchOrd,,15,911,692,26,26,26,43,43,1118,2020-02-03,2020-02-08,,,242520,,47,,,
1244799,PurchOrd,,16,407,296,26,26,26,2,2,52,2022-03-29,2022-04-03,,,242521,,65,,,
1244808,PurchOrd,,22,407,459,67,67,67,49,49,3283,2021-04-21,2021-04-26,,,242522,,56,,,
1244828,PurchOrd,,32,407,433,64,64,64,42,42,2688,2021-08-31,2021-09-05,,,242523,,42,,,
1244855,PurchOrd,,12,128,671,38,38,38,23,23,874,2022-01-30,2022-02-04,,,242524,,22,,,
1244884,PurchOrd,,18,407,413,60,60,60,51,51,3060,2020-10-26,2020-10-31,,,242525,,76,,,
1244935,PurchOrd,,13,569,274,91,91,91,55,55,5005,2021-09-03,2021-09-08,,,242526,,55,,,
1244964,PurchOrd,,34,875,378,90,90,90,80,80,7200,2020-03-15,2020-03-20,,,242527,,19,,,
1244978,PurchOrd,,35,407,467,7,0,0,40,40,280,2022-09-26,2022-10-01,,,242528,,96,,,
1244999,PurchOrd,,25,588,269,87,87,87,27,27,2349,2022-01-26,2022-01-31,,,242529,,84,,,
1245133,PurchOrd,,14,875,282,35,35,0,90,90,3150,2022-06-05,2022-06-10,,,242530,,93,,,
1245163,PurchOrd,,21,128,320,81,81,81,48,48,3888,2021-02-21,2021-02-26,,,242531,,22,,,
1245167,PurchOrd,,25,449,220,96,96,96,71,71,6816,2020-08-12,2020-08-17,,,242532,,81,,,
1245216,PurchOrd,,26,569,152,91,91,91,13,13,1183,2022-06-27,2022-07-02,,,242533,,87,,,
1245228,PurchOrd,,26,128,231,22,22,22,3,3,66,2020-05-14,2020-05-19,,,242534,,80,,,
1245252,PurchOrd,,17,911,605,20,20,20,60,60,1200,2022-06-17,2022-06-22,,,242535,,4,,,
1245308,PurchOrd,,24,685,654,8,8,8,56,56,448,2021-04-02,2021-04-07,,,242536,,66,,,
1245335,PurchOrd,,36,588,314,71,71,71,91,91,6461,2021-05-11,2021-05-16,,,242537,,25,,,
1245345,PurchOrd,,30,587,476,43,43,43,29,29,1247,2021-12-10,2021-12-15,,,242538,,86,,,
1245352,PurchOrd,,18,449,536,49,49,49,87,87,4263,2022-03-18,2022-03-23,,,242539,,79,,,
1245394,PurchOrd,,32,588,527,33,33,33,70,70,2310,2021-06-15,2021-06-20,,,242540,,45,,,
1245397,PurchOrd,,26,449,785,7,7,7,31,31,217,2022-10-19,2022-10-24,,,242541,,80,,,
1245422,PurchOrd,,16,911,632,86,86,86,94,94,8084,2022-07-14,2022-07-19,,,242542,,5,,,
1245425,PurchOrd,,24,875,174,7,0,0,39,39,273,2021-01-03,2021-01-08,,,242543,,98,,,
1245472,PurchOrd,,16,407,41,68,68,68,44,44,2992,2020-06-20,2020-06-25,,,242544,,4,,,
1245475,PurchOrd,,16,588,597,87,87,87,58,58,5046,2021-03-24,2021-03-29,,,242545,,57,,,
1245506,PurchOrd,,24,588,228,2,2,2,90,90,180,2020-08-05,2020-08-10,,,242546,,62,,,
1245507,PurchOrd,,16,128,411,47,47,47,1,1,47,2022-04-21,2022-04-26,,,242547,,40,,,
1245509,PurchOrd,,23,911,704,12,12,12,83,83,996,2021-11-04,2021-11-09,,,242548,,6,,,
1245510,PurchOrd,,34,588,181,92,92,92,69,69,6348,2021-06-14,2021-06-19,,,242549,,28,,,
1245515,PurchOrd,,16,911,771,94,94,0,2,2,188,2021-10-10,2021-10-15,,,242550,,90,,,
1245594,PurchOrd,,28,685,120,56,56,56,58,58,3248,2020-06-16,2020-06-21,,,242551,,64,,,
1245670,PurchOrd,,35,117,70,89,89,89,43,43,3827,2021-07-30,2021-08-04,,,242552,,76,,,
1245699,PurchOrd,,32,588,219,24,24,24,48,48,1152,2022-05-11,2022-05-16,,,242553,,38,,,
1245827,PurchOrd,,21,569,97,88,88,88,79,79,6952,2022-08-15,2022-08-20,,,242554,,77,,,
1246054,PurchOrd,,32,587,679,77,77,77,85,85,6545,2021-07-11,2021-07-16,,,242555,,77,,,
1246065,PurchOrd,,21,117,110,15,15,15,98,98,1470,2022-02-24,2022-03-01,,,242556,,60,,,
1246088,PurchOrd,,31,588,291,62,62,62,42,42,2604,2022-03-04,2022-03-09,,,242557,,38,,,
1246110,PurchOrd,,36,875,43,49,49,49,64,64,3136,2021-11-27,2021-12-02,,,242558,,40,,,
1246112,PurchOrd,,28,569,329,76,76,76,13,13,988,2022-09-04,2022-09-09,,,242559,,82,,,
1246117,PurchOrd,,29,588,356,27,27,27,92,92,2484,2020-05-10,2020-05-15,,,242560,,85,,,
1246122,PurchOrd,,17,449,403,87,87,87,18,18,1566,2020-06-21,2020-06-26,,,242561,,77,,,
1246142,PurchOrd,,33,128,218,29,29,29,3,3,87,2022-04-06,2022-04-11,,,242562,,79,,,
1246147,PurchOrd,,23,587,634,70,70,70,4,4,280,2022-05-27,2022-06-01,,,242563,,12,,,
1246151,PurchOrd,,21,117,699,82,82,82,36,36,2952,2022-01-01,2022-01-06,,,242564,,52,,,
1246172,PurchOrd,,18,685,523,26,26,26,7,7,182,2021-12-09,2021-12-14,,,242565,,67,,,
1246198,PurchOrd,,23,587,480,49,49,49,42,42,2058,2021-10-31,2021-11-05,,,242566,,25,,,
1246226,PurchOrd,,14,569,775,31,31,31,12,12,372,2021-06-08,2021-06-13,,,242567,,87,,,
1246229,PurchOrd,,31,117,168,7,7,7,21,21,147,2021-05-16,2021-05-21,,,242568,,83,,,
1246236,PurchOrd,,22,875,719,80,80,80,80,80,6400,2021-09-25,2021-09-30,,,242569,,72,,,
1246247,PurchOrd,,32,685,56,93,0,0,58,58,5394,2022-09-11,2022-09-16,,,242570,,99,,,
1246286,PurchOrd,,31,875,136,78,78,78,24,24,1872,2022-01-01,2022-01-06,,,242571,,44,,,
1246302,PurchOrd,,18,685,58,13,13,0,63,63,819,2021-08-11,2021-08-16,,,242572,,93,,,
1246306,PurchOrd,,36,685,55,20,20,20,48,48,960,2020-11-30,2020-12-05,,,242573,,88,,,
1246343,PurchOrd,,18,588,102,84,84,84,10,10,840,2020-03-08,2020-03-13,,,242574,,48,,,
1246365,PurchOrd,,36,587,524,72,72,72,71,71,5112,2022-06-09,2022-06-14,,,242575,,81,,,
1246374,PurchOrd,,31,875,372,38,38,38,59,59,2242,2021-06-15,2021-06-20,,,242576,,11,,,
1246455,PurchOrd,,12,569,279,70,70,70,100,100,7000,2022-07-25,2022-07-30,,,242577,,41,,,
1246466,PurchOrd,,25,685,325,61,61,61,23,23,1403,2021-12-31,2022-01-05,,,242578,,14,,,
1246606,PurchOrd,,17,587,682,7,7,7,88,88,616,2021-10-14,2021-10-19,,,242579,,68,,,
1246622,PurchOrd,,25,587,682,14,14,0,88,88,1232,2022-09-01,2022-09-06,,,242580,,90,,,
1246637,PurchOrd,,34,875,377,31,31,31,78,78,2418,2021-08-12,2021-08-17,,,242581,,11,,,
1246690,PurchOrd,,27,911,697,28,0,0,44,44,1232,2020-12-17,2020-12-22,,,242582,,96,,,
1246798,PurchOrd,,12,911,732,54,54,54,58,58,3132,2021-10-24,2021-10-29,,,242583,,57,,,
1246861,PurchOrd,,15,587,744,68,68,68,49,49,3332,2021-12-26,2021-12-31,,,242584,,12,,,
1246870,PurchOrd,,33,128,153,17,17,17,97,97,1649,2020-06-07,2020-06-12,,,242585,,75,,,
1246888,PurchOrd,,22,588,244,66,66,66,70,70,4620,2022-02-20,2022-02-25,,,242586,,9,,,
1246903,PurchOrd,,29,569,164,25,25,25,53,53,1325,2020-08-04,2020-08-09,,,242587,,35,,,
1246914,PurchOrd,,28,569,66,43,43,43,97,97,4171,2020-01-18,2020-01-23,,,242588,,35,,,
1246982,PurchOrd,,29,128,160,74,74,74,42,42,3108,2022-04-17,2022-04-22,,,242589,,74,,,
1247004,PurchOrd,,15,569,554,25,0,0,58,58,1450,2020-09-04,2020-09-09,,,242590,,98,,,
1247043,PurchOrd,,29,569,588,83,0,0,47,47,3901,2022-09-21,2022-09-26,,,242591,,96,,,
1247132,PurchOrd,,20,449,601,22,22,22,57,57,1254,2020-09-03,2020-09-08,,,242592,,53,,,
1247152,PurchOrd,,36,407,357,95,95,95,56,56,5320,2022-07-02,2022-07-07,,,242593,,34,,,
1247180,PurchOrd,,31,685,430,82,82,82,8,8,656,2022-03-27,2022-04-01,,,242594,,33,,,
1247209,PurchOrd,,34,911,592,78,78,78,46,46,3588,2022-05-31,2022-06-05,,,242595,,68,,,
1247240,PurchOrd,,32,569,661,2,2,2,6,6,12,2021-08-20,2021-08-25,,,242596,,50,,,
1247242,PurchOrd,,30,569,336,62,62,62,90,90,5580,2022-05-10,2022-05-15,,,242597,,7,,,
1247244,PurchOrd,,33,588,709,56,56,56,62,62,3472,2020-09-28,2020-10-03,,,242598,,46,,,
1247250,PurchOrd,,24,128,602,46,46,46,55,55,2530,2022-04-22,2022-04-27,,,242599,,87,,,
1247260,PurchOrd,,17,587,745,93,93,93,73,73,6789,2022-05-28,2022-06-02,,,242600,,47,,,
1247394,PurchOrd,,28,911,467,89,0,0,40,40,3560,2020-11-16,2020-11-21,,,242601,,98,,,
1247402,PurchOrd,,30,407,488,26,0,0,46,46,1196,2021-04-06,2021-04-11,,,242602,,96,,,
1247435,PurchOrd,,30,449,305,38,38,38,97,97,3686,2022-07-24,2022-07-29,,,242603,,25,,,
1247437,PurchOrd,,25,911,486,92,92,92,73,73,6716,2020-02-15,2020-02-20,,,242604,,31,,,
1247440,PurchOrd,,36,569,614,8,8,8,90,90,720,2020-10-23,2020-10-28,,,242605,,57,,,
1247449,PurchOrd,,22,407,117,0,0,0,3,3,0,2020-12-03,2020-12-08,,,242606,,81,,,
1247459,PurchOrd,,36,588,769,16,16,16,63,63,1008,2020-01-18,2020-01-23,,,242607,,13,,,
1247460,PurchOrd,,37,587,718,31,31,0,68,68,2108,2022-05-02,2022-05-07,,,242608,,91,,,
1247464,PurchOrd,,34,875,47,70,70,0,94,94,6580,2020-11-04,2020-11-09,,,242609,,91,,,
1247486,PurchOrd,,28,407,193,77,77,77,85,85,6545,2022-05-19,2022-05-24,,,242610,,19,,,
1247509,PurchOrd,,28,449,743,24,24,24,88,88,2112,2022-05-04,2022-05-09,,,242611,,74,,,
1247567,PurchOrd,,11,588,712,95,95,95,2,2,190,2022-04-11,2022-04-16,,,242612,,53,,,
1247573,PurchOrd,,13,569,548,45,45,45,24,24,1080,2022-01-20,2022-01-25,,,242613,,16,,,
1247619,PurchOrd,,31,449,592,28,28,28,46,46,1288,2022-10-15,2022-10-20,,,242614,,82,,,
1247641,PurchOrd,,20,587,564,72,72,72,84,84,6048,2020-04-15,2020-04-20,,,242615,,85,,,
1247692,PurchOrd,,13,911,28,70,70,70,86,86,6020,2022-05-06,2022-05-11,,,242616,,47,,,
1247706,PurchOrd,,34,875,530,60,60,60,63,63,3780,2021-04-19,2021-04-24,,,242617,,56,,,
1247718,PurchOrd,,13,875,577,70,70,0,94,94,6580,2022-10-26,2022-10-31,,,242618,,91,,,
1247735,PurchOrd,,28,407,130,86,86,86,27,27,2322,2021-04-09,2021-04-14,,,242619,,83,,,
1247893,PurchOrd,,12,117,568,51,51,51,64,64,3264,2020-06-03,2020-06-08,,,242620,,71,,,
1247937,PurchOrd,,32,449,459,90,90,90,49,49,4410,2020-12-15,2020-12-20,,,242621,,82,,,
1247966,PurchOrd,,18,449,551,56,56,56,53,53,2968,2022-10-10,2022-10-15,,,242622,,85,,,
1248047,PurchOrd,,28,911,50,71,0,0,25,25,1775,2021-08-22,2021-08-27,,,242623,,98,,,
1248067,PurchOrd,,26,569,545,82,82,82,19,19,1558,2022-10-01,2022-10-06,,,242624,,83,,,
1248074,PurchOrd,,24,875,621,100,100,100,21,21,2100,2021-10-06,2021-10-11,,,242625,,28,,,
1248138,PurchOrd,,35,449,287,59,59,59,37,37,2183,2021-01-25,2021-01-30,,,242626,,9,,,
1248142,PurchOrd,,30,911,72,74,74,74,99,99,7326,2021-12-01,2021-12-06,,,242627,,27,,,
1248154,PurchOrd,,17,685,776,19,19,19,88,88,1672,2020-09-15,2020-09-20,,,242628,,36,,,
1248187,PurchOrd,,22,588,754,24,24,24,23,23,552,2021-01-14,2021-01-19,,,242629,,86,,,
1248208,PurchOrd,,18,407,484,72,72,72,44,44,3168,2022-03-21,2022-03-26,,,242630,,52,,,
1248255,PurchOrd,,24,128,96,69,69,69,31,31,2139,2020-07-10,2020-07-15,,,242631,,67,,,
1248283,PurchOrd,,12,588,775,65,65,65,12,12,780,2021-11-05,2021-11-10,,,242632,,49,,,
1248285,PurchOrd,,26,685,213,75,0,0,73,73,5475,2022-07-06,2022-07-11,,,242633,,98,,,
1248405,PurchOrd,,15,569,477,51,51,51,72,72,3672,2021-01-26,2021-01-31,,,242634,,12,,,
1248454,PurchOrd,,30,587,480,9,9,9,42,42,378,2020-03-17,2020-03-22,,,242635,,44,,,
1248489,PurchOrd,,34,569,409,86,86,86,58,58,4988,2021-05-11,2021-05-16,,,242636,,23,,,
1248519,PurchOrd,,32,685,379,12,12,12,19,19,228,2021-06-15,2021-06-20,,,242637,,11,,,
1248529,PurchOrd,,30,911,746,33,33,33,57,57,1881,2022-04-07,2022-04-12,,,242638,,3,,,
1248584,PurchOrd,,28,911,61,83,0,0,85,85,7055,2022-06-13,2022-06-18,,,242639,,98,,,
1248589,PurchOrd,,14,128,292,26,26,0,80,80,2080,2022-07-21,2022-07-26,,,242640,,91,,,
1248629,PurchOrd,,22,875,393,96,96,96,63,63,6048,2021-05-03,2021-05-08,,,242641,,14,,,
1248683,PurchOrd,,29,128,64,25,25,25,39,39,975,2021-10-17,2021-10-22,,,242642,,1,,,
1248734,PurchOrd,,24,685,789,78,78,78,70,70,5460,2021-10-04,2021-10-09,,,242643,,1,,,
1248889,PurchOrd,,22,407,359,3,3,3,37,37,111,2022-01-09,2022-01-14,,,242644,,34,,,
1248907,PurchOrd,,16,449,760,61,0,0,7,7,427,2021-08-22,2021-08-27,,,242645,,96,,,
1248914,PurchOrd,,33,569,533,9,9,9,52,52,468,2022-01-16,2022-01-21,,,242646,,36,,,
1248937,PurchOrd,,24,685,191,73,73,73,2,2,146,2022-07-31,2022-08-05,,,242647,,1,,,
1248949,PurchOrd,,27,588,515,20,20,20,77,77,1540,2022-01-17,2022-01-22,,,242648,,7,,,
1248954,PurchOrd,,23,875,28,24,24,24,86,86,2064,2022-01-28,2022-02-02,,,242649,,15,,,
1248983,PurchOrd,,37,569,720,81,81,81,77,77,6237,2022-10-09,2022-10-14,,,242650,,86,,,
1249002,PurchOrd,,12,569,434,64,64,64,99,99,6336,2021-06-24,2021-06-29,,,242651,,86,,,
1249012,PurchOrd,,15,875,415,36,0,0,97,97,3492,2020-07-16,2020-07-21,,,242652,,95,,,
1249013,PurchOrd,,35,685,422,26,26,26,67,67,1742,2022-02-11,2022-02-16,,,242653,,40,,,
1249018,PurchOrd,,31,911,551,94,94,94,53,53,4982,2021-05-05,2021-05-10,,,242654,,56,,,
1249199,PurchOrd,,26,587,26,62,62,62,80,80,4960,2020-11-09,2020-11-14,,,242655,,48,,,
1249297,PurchOrd,,12,588,601,90,90,0,57,57,5130,2022-09-14,2022-09-19,,,242656,,90,,,
1249398,PurchOrd,,29,407,354,14,14,14,42,42,588,2022-07-13,2022-07-18,,,242657,,51,,,
1249412,PurchOrd,,19,588,794,6,0,0,69,69,414,2022-03-23,2022-03-28,,,242658,,98,,,
1249438,PurchOrd,,15,449,274,76,0,0,55,55,4180,2020-07-17,2020-07-22,,,242659,,96,,,
1249460,PurchOrd,,16,588,210,3,3,3,20,20,60,2021-08-24,2021-08-29,,,242660,,15,,,
1249514,PurchOrd,,14,449,131,52,52,52,62,62,3224,2022-08-29,2022-09-03,,,242661,,85,,,
1249516,PurchOrd,,16,588,40,49,49,49,10,10,490,2021-11-23,2021-11-28,,,242662,,19,,,
1249549,PurchOrd,,22,685,734,51,51,0,9,9,459,2021-04-01,2021-04-06,,,242663,,93,,,
1249633,PurchOrd,,12,128,498,60,0,0,61,61,3660,2021-07-12,2021-07-17,,,242664,,96,,,
1249661,PurchOrd,,31,911,565,29,29,29,88,88,2552,2021-06-19,2021-06-24,,,242665,,78,,,
1249690,PurchOrd,,21,587,352,48,48,48,55,55,2640,2021-08-31,2021-09-05,,,242666,,40,,,
1249693,PurchOrd,,22,117,793,44,44,44,49,49,2156,2022-06-01,2022-06-06,,,242667,,11,,,
1249709,PurchOrd,,37,128,75,80,80,80,2,2,160,2021-09-16,2021-09-21,,,242668,,13,,,
1249733,PurchOrd,,33,569,153,68,68,68,97,97,6596,2020-11-12,2020-11-17,,,242669,,63,,,
1249747,PurchOrd,,29,588,116,23,23,0,4,4,92,2022-09-23,2022-09-28,,,242670,,93,,,
1249760,PurchOrd,,30,569,677,51,51,51,57,57,2907,2021-01-13,2021-01-18,,,242671,,50,,,
1249767,PurchOrd,,15,449,726,54,54,54,48,48,2592,2021-05-02,2021-05-07,,,242672,,35,,,
1249805,PurchOrd,,32,911,81,85,85,85,41,41,3485,2022-05-09,2022-05-14,,,242673,,45,,,
1249811,PurchOrd,,23,407,61,28,28,28,85,85,2380,2022-06-06,2022-06-11,,,242674,,83,,,
1249814,PurchOrd,,12,569,377,76,76,76,78,78,5928,2022-02-27,2022-03-04,,,242675,,21,,,
1249853,PurchOrd,,31,587,258,69,69,69,32,32,2208,2022-03-02,2022-03-07,,,242676,,49,,,
1249867,PurchOrd,,36,117,480,60,60,60,42,42,2520,2020-04-06,2020-04-11,,,242677,,55,,,
1249873,PurchOrd,,11,875,287,35,35,35,37,37,1295,2022-04-14,2022-04-19,,,242678,,40,,,
1249934,PurchOrd,,35,875,771,62,62,62,2,2,124,2020-06-27,2020-07-02,,,242679,,60,,,
1249959,PurchOrd,,14,128,686,37,0,0,76,76,2812,2022-02-25,2022-03-02,,,242680,,100,,,
1249965,PurchOrd,,27,407,378,94,94,94,80,80,7520,2021-12-05,2021-12-10,,,242681,,23,,,
1250050,PurchOrd,,11,449,485,43,43,43,64,64,2752,2020-03-08,2020-03-13,,,242682,,35,,,
1250181,PurchOrd,,15,407,542,44,44,44,6,6,264,2020-12-22,2020-12-27,,,242683,,77,,,
1250238,PurchOrd,,36,685,230,40,40,40,89,89,3560,2020-09-17,2020-09-22,,,242684,,6,,,
1250260,PurchOrd,,19,588,288,29,29,29,6,6,174,2021-01-27,2021-02-01,,,242685,,59,,,
1250283,PurchOrd,,37,117,350,41,41,41,86,86,3526,2022-03-18,2022-03-23,,,242686,,89,,,
1250306,PurchOrd,,11,875,606,23,23,23,16,16,368,2022-08-12,2022-08-17,,,242687,,29,,,
1250384,PurchOrd,,25,587,599,49,49,49,34,34,1666,2022-08-22,2022-08-27,,,242688,,17,,,
1250425,PurchOrd,,21,685,61,27,27,27,85,85,2295,2022-06-06,2022-06-11,,,242689,,64,,,
1250462,PurchOrd,,18,449,95,27,27,27,54,54,1458,2021-04-01,2021-04-06,,,242690,,69,,,
1250555,PurchOrd,,15,875,189,72,72,72,17,17,1224,2022-07-19,2022-07-24,,,242691,,77,,,
1250568,PurchOrd,,35,685,236,98,98,98,6,6,588,2022-01-19,2022-01-24,,,242692,,29,,,
1250583,PurchOrd,,12,685,640,36,0,0,93,93,3348,2021-03-05,2021-03-10,,,242693,,99,,,
1250638,PurchOrd,,16,587,284,56,56,56,28,28,1568,2022-10-13,2022-10-18,,,242694,,88,,,
1250647,PurchOrd,,21,588,114,33,33,33,12,12,396,2020-11-18,2020-11-23,,,242695,,42,,,
1250650,PurchOrd,,32,587,408,61,61,61,2,2,122,2022-03-24,2022-03-29,,,242696,,77,,,
1250719,PurchOrd,,27,875,785,96,96,96,31,31,2976,2022-05-10,2022-05-15,,,242697,,83,,,
1250723,PurchOrd,,31,587,39,35,0,0,19,19,665,2021-09-23,2021-09-28,,,242698,,95,,,
1250740,PurchOrd,,28,407,448,4,4,4,17,17,68,2022-08-23,2022-08-28,,,242699,,30,,,
1250804,PurchOrd,,36,569,755,5,5,5,7,7,35,2020-04-12,2020-04-17,,,242700,,19,,,
1250825,PurchOrd,,20,128,46,48,48,48,19,19,912,2021-01-02,2021-01-07,,,242701,,25,,,
1250854,PurchOrd,,23,449,220,14,14,14,71,71,994,2021-10-26,2021-10-31,,,242702,,19,,,
1250895,PurchOrd,,35,407,660,66,66,66,91,91,6006,2022-05-13,2022-05-18,,,242703,,18,,,
1250935,PurchOrd,,30,875,469,67,67,67,10,10,670,2021-06-02,2021-06-07,,,242704,,86,,,
1250941,PurchOrd,,33,117,619,91,0,0,93,93,8463,2021-04-26,2021-05-01,,,242705,,96,,,
1250956,PurchOrd,,12,587,77,73,73,0,9,9,657,2021-05-11,2021-05-16,,,242706,,90,,,
1250977,PurchOrd,,13,449,98,17,17,17,97,97,1649,2020-03-21,2020-03-26,,,242707,,37,,,
1250998,PurchOrd,,21,128,229,50,50,50,79,79,3950,2022-10-01,2022-10-06,,,242708,,88,,,
1251000,PurchOrd,,22,875,263,16,16,16,52,52,832,2021-09-28,2021-10-03,,,242709,,36,,,
1251009,PurchOrd,,19,407,338,93,93,93,53,53,4929,2021-01-22,2021-01-27,,,242710,,87,,,
1251016,PurchOrd,,32,587,786,60,60,60,28,28,1680,2020-07-07,2020-07-12,,,242711,,52,,,
1251026,PurchOrd,,13,449,769,98,98,98,63,63,6174,2022-05-23,2022-05-28,,,242712,,86,,,
1251028,PurchOrd,,37,569,313,90,90,90,18,18,1620,2021-07-27,2021-08-01,,,242713,,40,,,
1251055,PurchOrd,,14,685,218,51,51,51,3,3,153,2021-12-23,2021-12-28,,,242714,,8,,,
1251069,PurchOrd,,34,587,179,40,40,40,17,17,680,2020-02-28,2020-03-04,,,242715,,68,,,
1251080,PurchOrd,,16,569,627,38,38,38,16,16,608,2022-05-27,2022-06-01,,,242716,,38,,,
1251090,PurchOrd,,17,128,607,80,0,0,66,66,5280,2022-03-21,2022-03-26,,,242717,,98,,,
1251175,PurchOrd,,20,569,29,63,63,63,74,74,4662,2020-07-20,2020-07-25,,,242718,,86,,,
1251185,PurchOrd,,24,449,135,0,0,0,95,95,0,2022-08-16,2022-08-21,,,242719,,4,,,
1251225,PurchOrd,,32,407,31,19,19,19,67,67,1273,2020-12-09,2020-12-14,,,242720,,34,,,
1251271,PurchOrd,,22,588,135,31,31,31,95,95,2945,2020-06-18,2020-06-23,,,242721,,36,,,
1251323,PurchOrd,,18,911,463,80,0,0,59,59,4720,2022-09-15,2022-09-20,,,242722,,100,,,
1251339,PurchOrd,,21,911,187,99,99,99,52,52,5148,2022-03-16,2022-03-21,,,242723,,64,,,
1251341,PurchOrd,,30,569,224,28,28,28,73,73,2044,2020-11-11,2020-11-16,,,242724,,36,,,
1251386,PurchOrd,,12,128,311,59,59,59,55,55,3245,2021-04-17,2021-04-22,,,242725,,43,,,
1251395,PurchOrd,,23,588,311,98,98,98,55,55,5390,2021-01-21,2021-01-26,,,242726,,60,,,
1251499,PurchOrd,,25,117,474,94,94,94,8,8,752,2020-06-05,2020-06-10,,,242727,,4,,,
1251541,PurchOrd,,23,449,401,56,56,56,3,3,168,2021-03-27,2021-04-01,,,242728,,80,,,
1251576,PurchOrd,,24,588,385,97,97,97,31,31,3007,2022-07-17,2022-07-22,,,242729,,73,,,
1251594,PurchOrd,,18,587,306,20,20,20,99,99,1980,2021-02-18,2021-02-23,,,242730,,49,,,
1251629,PurchOrd,,18,588,221,77,77,77,75,75,5775,2022-06-30,2022-07-05,,,242731,,61,,,
1251649,PurchOrd,,33,588,174,86,86,86,39,39,3354,2021-11-25,2021-11-30,,,242732,,61,,,
1251658,PurchOrd,,23,875,633,17,17,17,45,45,765,2022-07-04,2022-07-09,,,242733,,2,,,
1251663,PurchOrd,,35,588,564,74,74,74,84,84,6216,2020-07-01,2020-07-06,,,242734,,47,,,
1251671,PurchOrd,,17,117,509,75,75,75,17,17,1275,2021-09-10,2021-09-15,,,242735,,86,,,
